lemma,freq
alcoomètre,0.07
alcootest,0.31
alcoran,0.07
alcyon,0.74
alcôve,4.59
alde,0.22
alderman,0.14
aldol,0.05
aldéhyde,0.07
ale,2.10
alea jacta est,0.30
alentour,8.92
alençonnais,0.27
aleph,0.41
alerte,13.45
alertement,0.27
alerter,12.91
alerté,2.64
alevin,0.68
alexandra,0.51
alexandrin,1.89
alexie,0.01
alexithymie,0.03
alezan,2.36
alfa,1.01
algarade,1.96
algie,0.27
algonquin,0.54
algorithme,0.72
algorithmique,0.13
algue,12.03
algèbre,2.03
algébrique,0.54
algébriquement,0.07
algébriste,0.14
algérien,7.43
algérois,0.74
alhambra,1.76
alias,5.45
alibi,11.13
alidade,0.07
alignement,5.14
aligner,26.69
aligné,5.81
aligot,0.03
aligoté,0.20
alim,0.21
aliment,6.62
alimentaire,5.85
alimentation,5.64
alimenter,8.92
alinéa,0.75
alise,0.07
alisier,0.07
alitement,0.01
aliter,1.49
alizé,0.68
aliénant,1.22
aliénation,1.49
aliéner,2.23
aliéniste,0.05
aliéné,2.28
alkali,0.06
all right,1.53
allaitant,0.14
allaitement,0.29
allaiter,1.73
allant,4.19
allegretto,0.27
allegro,0.47
allemagne,0.27
allemand,91.55
aller,9992.77
aller-retour,2.43
allergie,5.00
allergique,8.15
allergologie,0.14
allergologue,0.03
allergène,0.08
alliacé,0.14
alliage,1.07
alliance,24.73
allier,7.97
alligator,2.80
allitératif,0.01
allitération,0.09
allium,0.02
allié,55.34
allo,31.11
allobarbital,0.07
alloc,0.59
allocation,3.16
allocations,0.07
allochtone,0.01
allocution,4.12
allogreffe,0.01
allonge,0.54
allongement,0.68
allonger,89.66
allongé,12.57
allopathie,0.14
allostérique,0.01
allouer,2.09
allumage,1.75
allume-cigare,0.19
allume-cigares,0.14
allume-feu,0.27
allume-gaz,0.20
allumer,116.28
allumette,20.88
allumeur,1.49
allumoir,0.07
allumé,14.59
allure,65.88
alluré,0.07
allusif,1.22
allusion,31.15
allusivement,0.14
alluvion,0.95
allègement,0.20
allègre,4.93
allègrement,2.03
allèle,0.04
alléchant,2.09
allécher,2.09
allée,62.36
allégation,1.87
allégeance,1.64
allégement,0.54
alléger,6.89
allégorie,2.16
allégorique,1.35
allégoriquement,0.10
allégrement,2.77
allégresse,11.89
alléguer,2.97
alléluia,2.62
allô,116.05
alma,0.86
almanach,1.89
almohade,0.14
almée,0.27
aloi,1.89
alopécie,0.07
alors,1777.65
alose,0.47
alouette,4.32
alourdir,15.34
alourdissement,0.14
aloyau,0.27
aloès,1.15
alpaga,1.28
alpage,0.81
alpaguer,2.16
alpe,0.27
alpenstock,0.34
alpestre,0.47
alpha,2.09
alphabet,4.73
alphabétique,1.69
alphabétiquement,0.14
alphabétisation,0.30
alphabétiser,0.02
alphabétisé,0.01
alphanumérique,0.07
alpin,3.04
alpinisme,0.67
alpiniste,1.96
alsacien,3.99
alstonia,0.14
alter,0.07
alter ego,0.54
altercation,1.49
alternance,3.78
alternant,0.20
alternateur,0.14
alternatif,3.04
alternative,5.89
alternativement,5.88
alterne,0.07
alterner,6.82
alterné,0.81
altesse,12.93
althaea,0.01
altier,2.91
altimètre,0.75
altitude,6.96
altièrement,0.07
alto,1.08
altruisme,0.74
altruiste,0.86
altuglas,0.07
altérable,0.01
altération,1.49
altérer,7.50
altérité,0.20
altéré,1.35
alu,1.06
aluette,0.01
aluminium,4.32
alun,0.74
alunir,0.43
alunissage,0.52
alvar,0.05
alvin,0.12
alvéolaire,0.04
alvéole,3.18
alvéolé,0.34
alysse,0.27
