word,gender,freq
agaceur,m,0.07
agames,m,0.01
agami,m,0.07
agapanthe,f,0.07
agapanthes,f,0.07
agape,f,0.68
agapes,f,0.68
agar-agar,m,0.07
agas,m,6.01
agasses,f,0.07
agate,f,1.22
agates,f,1.22
agathe,f,0.14
agave,m,0.47
agaves,m,0.47
age,m,3.37
agence,f,23.15
agencement,m,1.89
agencements,m,1.89
agences,f,23.15
agenda,m,6.08
agendas,m,6.08
agenouillement,m,0.27
agent,m,117.90
agente,f,117.90
agents,m,117.90
ages,m,3.37
aggiornamento,m,0.07
agglo,m,0.07
agglomérat,m,0.47
agglomération,f,2.16
agglomérations,f,2.16
aggloméré,m,0.34
agglomérés,m,0.34
agglutination,f,0.14
agglutinement,m,0.07
agglutinogène,m,0.07
aggravation,f,0.74
aggrave,f,0.01
aggravée,f,0.07
aghas,m,0.07
agilité,f,3.38
agilités,f,3.38
agios,m,0.17
agioteur,m,0.07
agissement,m,1.34
agissements,m,1.34
agit-prop,f,0.10
agitateur,m,1.89
agitateurs,m,1.89
agitation,f,21.35
agitations,f,21.35
agitatrice,f,1.89
agité,m,2.64
agitée,f,2.64
agitées,f,2.64
agités,m,2.64
agnat,m,0.07
agnathes,m,0.07
agneau,m,16.13
agneaux,m,16.13
agnelage,m,0.07
agnelet,m,0.11
agneline,f,0.07
agnelle,f,0.41
agnelles,f,0.41
agnosie,f,0.02
agnus dei,m,0.47
agnus-dei,m,0.07
agonie,f,14.59
agonies,f,14.59
agonisant,m,3.38
agonisante,f,3.38
agonisantes,f,3.38
agonisants,m,3.38
agora,f,0.68
agoraphobie,f,0.23
agouti,m,0.41
agoutis,m,0.41
agoyate,m,0.41
agoyates,m,0.41
agrafage,m,0.03
agrafe,f,2.43
agrafes,f,2.43
agrafeur,m,0.03
agrafeuse,f,0.79
agrafeuses,f,0.79
agrainage,m,0.07
agrandissement,m,1.69
agrandissements,m,1.69
agrandisseur,m,0.27
agrandisseurs,m,0.27
agranulocytose,f,0.01
agresseur,m,6.87
agresseurs,m,6.87
agression,f,12.91
agressions,f,12.91
agressivité,f,5.00
agressivités,f,5.00
agriculteur,m,1.76
agriculteurs,m,1.76
agricultrice,f,1.76
agricultrices,f,1.76
agriculture,f,3.39
agrippement,m,0.07
agroalimentaire,m,0.04
agronomie,f,0.07
agrovilles,f,0.07
agrume,m,0.54
agrumes,m,0.54
agrès,m,1.01
agréable,m,1.62
agréables,m,1.62
agrég,f,0.14
agrégat,m,0.61
agrégatif,m,0.47
agrégatifs,m,0.47
agrégation,f,2.97
agrégative,f,0.07
agrégats,m,0.61
agrégé,m,1.15
agrégée,f,1.15
agrégées,f,1.15
agrégés,m,1.15
agrément,m,7.16
agréments,m,7.16
agréé,m,0.07
aguardiente,f,0.03
aguichage,m,0.01
aguiche,f,0.01
aguicheuse,f,0.14
ahan,m,0.54
ahanement,m,0.34
ahanements,m,0.34
ahans,m,0.54
ahuri,m,3.04
ahurie,f,3.04
ahuris,m,3.04
ahurissement,m,1.82
ahurissements,m,1.82
aide-comptable,m,0.07
aide-cuisinier,m,0.14
aide-jardinier,m,0.07
aide-major,m,0.14
aide-mémoire,m,0.41
aide-ménagère,f,0.27
aide-soignant,m,0.40
aide-soignante,f,0.40
